row,tx_hash,token_address,from_address,to_address,token_id,blk_number,blk_timestamp,eth_value
14172,0x92ed58727b7616be1a3a0b1c86b003c629c7de08542580ae139702f25f5c351f,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x0ed4f0e95a796a32711144a89a114d5466d2e34b,0x696f11e949d291743d544eb4447fc3eb4cec4393,4345,13635336,1637183674,6.4
14173,0xbbc1fa0e9dd80808ec7ec332295daf1419b615958fc7e978afa4073849aa93f1,0x57a204aa1042f6e66dd7730813f4024114d74f37,0xbf7a8ec016b1e93396567d08e1d1c3b4e3e9d714,0x39b3a5c6f595fe24ec8f14d7ed6d7d1d790dc59d,1205,13635383,1637184390,7.0
14174,0x7d33525cdf0b4151c67157303125ea70fba09d2adf3f7da925741e7cb441d87e,0x57a204aa1042f6e66dd7730813f4024114d74f37,0xd9d1c2623fbb4377d9bf29075e610a9b8b4805b4,0x4e7ac588ee7ee2fbc3ba1e3ba82836072103c991,2540,13636258,1637196808,0.0
14175,0xa04cc485883a7df7e14640128cc758d5babd156c1ae607403511f283f7d6dff6,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x9f0e3df46531947056b771d231771c7198005a19,0x8c3e0e1f2ba1654fb192dd88736b9362ed4855ae,40,13636376,1637198482,0.0
14176,0x136ba0c75e43a8885b9029e5270f65de48779ace0bae6c96f0770860452a222f,0x57a204aa1042f6e66dd7730813f4024114d74f37,0xcc77df7e9959c60e7ec427367e1ae6e2720d6735,0x6324154c5d4e441dbaf8d4e0db450a21edbf0b3a,3013,13636479,1637199618,0.0
14177,0x71dde17b0562adde52e787c5bfc8d4350bbc85f92bc4c7fe63cbdab81a2b075a,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x0101c09b0e744331a00fc8de81a460f8735baa7d,0xd59f530a4c970982097cf2cdf99e94bfd68cca12,4321,13636570,1637200938,8.0
14178,0x0a0c69951ce943e0ef5cd06ec3a6cae06dd514e7487e6e44e72eff8614f80f26,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x1d3bd21016281f2508ff7c5363aa95a559042526,0x1c119fe0a99328d384b7bb3a15161741934ee755,2206,13636575,1637201025,0.0
14179,0x08e9dd69a353f687c8546329d4ae2f746665468377dc5e325101e74aac4cc1df,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x1d3bd21016281f2508ff7c5363aa95a559042526,0x1c119fe0a99328d384b7bb3a15161741934ee755,1677,13636581,1637201100,0.0
14180,0xc863cb2fe642d931569b3f25a7045462fef05425830c7e06841dd3eecf73f3e4,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x1d3bd21016281f2508ff7c5363aa95a559042526,0x1c119fe0a99328d384b7bb3a15161741934ee755,1256,13636582,1637201149,0.0
14181,0xcf6275ca1e04e7c75c6ba6f19b535e9f85c000fd1a07d8ac51ae513c47d0c50b,0x57a204aa1042f6e66dd7730813f4024114d74f37,0x1d3bd21016281f2508ff7c5363aa95a559042526,0x1c119fe0a99328d384b7bb3a15161741934ee755,3891,13636584,1637201164,0.0
